year,total_abstracts,abstracts_with_any_biomarker,abstracts_with_any_ml,CRP,troponin,cholesterol,non_hdl,HbA1c,IL-6,glucose,BNP,ferritin,albumin,creatinine,linear_regression,cox_model,logistic_regression,random_forest,SVM,neural_network,deep_learning,transformer,XGBoost,gradient_boosting,lightgbm,catboost,naive_bayes,decision_tree,clustering,biomarker_rate,ml_rate,ai_penetration_index,ml_growth_yoy,biomarker_growth_yoy,ml_rate_smooth,biomarker_rate_smooth
2002,2,2,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,,,0.0,1000.0
2003,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,,0.0,0.0,1000.0
2004,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,,0.0,0.0,833.3333333333334
2005,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,,-50.0,166.66666666666666,833.3333333333334
2006,2,2,1,0,2,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,500.0,0.5,inf,100.0,233.33333333333334,766.6666666666666
2009,5,4,1,3,4,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,800.0,200.0,0.25,-60.0,-19.999999999999996,566.6666666666666,933.3333333333334
2010,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,1000.0,1.0,400.0,25.0,733.3333333333334,933.3333333333334
2011,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0,1000.0,1.0,0.0,0.0,666.6666666666666,833.3333333333334
2012,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,-100.0,-50.0,666.6666666666666,833.3333333333334
2013,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1000.0,1.0,inf,100.0,444.4444444444444,833.3333333333334
2014,3,3,1,1,2,1,1,1,1,1,3,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,333.3333333333333,0.3333333333333333,-66.66666666666667,0.0,611.1111111111111,1000.0
2015,2,2,1,1,1,1,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1000.0,500.0,0.5,50.0,0.0,444.4444444444444,1000.0
2016,2,2,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,500.0,0.5,0.0,0.0,333.3333333333333,1000.0
2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,-100.0,0.0,500.0,1000.0
2018,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,1000.0,1.0,inf,0.0,333.3333333333333,1000.0
2019,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,-100.0,0.0,333.3333333333333,1000.0
2020,2,2,0,1,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,,0.0,222.2222222222222,888.8888888888888
2021,3,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,666.6666666666666,666.6666666666666,1.0,inf,-33.333333333333336,555.5555555555555,888.8888888888888
2022,2,2,2,0,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1000.0,1000.0,1.0,50.0,50.0,722.2222222222222,888.8888888888888
2023,2,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,500.0,0.5,-50.0,0.0,500.0,1000.0
2024,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,-100.0,0.0,166.66666666666666,1000.0
2025,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,0.0,0.0,,0.0,333.3333333333333,1000.0
2026,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,1000.0,1.0,inf,0.0,500.0,1000.0
